날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-02-13,0,0,0,0,0,0,0,67200,960000,4185600,6508800,9312000,9955200,9888000,8697600,7084800,4368000,1238400,9600,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,96000,672000,1142400,2592000,5116800,3484800,3350400,3744000,2592000,1670400,105600,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,19200,345600,681600,2083200,4022400,6240000,4406400,2764800,2246400,499200,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,230400,2956800,6211200,8553600,10022400,10089600,8006400,8534400,1171200,38400,153600,9600,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0,28800,326400,451200,2256000,2726400,2035200,1132800,1363200,1056000,153600,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0,288000,1459200,2841600,3331200,4003200,3916800,2409600,1324800,278400,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,259200,2265600,4963200,7910400,9792000,10483200,10262400,9312000,7612800,4838400,1497600,28800,0,0,0,0,0
2021-02-20,0,0,0,0,0,0,0,163200,2054400,5040000,7411200,8947200,9523200,9398400,8380800,6508800,3984000,1238400,28800,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,0,230400,2428800,5750400,8025600,9408000,10012800,9878400,8937600,7353600,4857600,1708800,38400,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,172800,1785600,4848000,7536000,8889600,9561600,9081600,7440000,3360000,4003200,1372800,38400,0,0,0,0,0
2021-02-23,0,0,0,0,0,0,0,134400,2640000,6403200,6259200,8400000,7910400,7977600,5385600,4003200,2832000,1833600,28800,0,0,0,0,0
2021-02-24,0,0,0,0,0,0,0,268800,1766400,2572800,6604800,5875200,6393600,4521600,3657600,1440000,672000,163200,0,0,0,0,0,0
2021-02-25,0,0,0,0,0,0,0,0,249600,1238400,1891200,1766400,1267200,489600,969600,1113600,316800,28800,0,0,0,0,0,0
2021-02-26,0,0,0,0,0,0,0,403200,2361600,6950400,8745600,7929600,6969600,7075200,7171200,3552000,1929600,691200,19200,0,0,0,0,0
2021-02-27,0,0,0,0,0,0,0,393600,3331200,6528000,8716800,10089600,10492800,9638400,5923200,7094400,3638400,1123200,28800,0,0,0,0,0
2021-02-28,0,0,0,0,0,0,0,163200,940800,1766400,1929600,1401600,2140800,1996800,1219200,1324800,1603200,758400,19200,0,0,0,0,0
2021-03-01,0,0,0,0,0,0,0,0,86400,547200,902400,969600,1161600,652800,528000,115200,19200,19200,0,0,0,0,0,0
2021-03-02,0,0,0,0,0,0,0,48000,547200,2457600,8140800,10723200,11059200,11385600,9590400,7238400,5894400,2284800,96000,0,0,0,0,0
2021-03-03,0,0,0,0,0,0,0,652800,2611200,5875200,8793600,8812800,9993600,10569600,9264000,4915200,2841600,624000,28800,0,0,0,0,0
2021-03-04,0,0,0,0,0,0,0,182400,902400,1296000,1545600,1862400,1584000,2428800,1286400,969600,672000,105600,0,0,0,0,0,0
2021-03-05,0,0,0,0,0,0,0,374400,2467200,6355200,9158400,10464000,10896000,10531200,8918400,6921600,3379200,1161600,76800,0,0,0,0,0
2021-03-06,0,0,0,0,0,0,0,307200,1276800,4204800,7728000,7795200,7036800,5894400,5366400,6480000,3724800,950400,76800,0,0,0,0,0
2021-03-07,0,0,0,0,0,0,0,67200,700800,2371200,4828800,6297600,6259200,5529600,6768000,5385600,3936000,1651200,96000,0,0,0,0,0
2021-03-08,0,0,0,0,0,0,0,230400,1536000,5289600,8208000,9523200,10320000,10483200,9254400,7833600,5174400,2112000,96000,0,0,0,0,0
2021-03-09,0,0,0,0,0,0,0,403200,1603200,5068800,8601600,9542400,10358400,10646400,6864000,5817600,3724800,1728000,192000,0,0,0,0,0
2021-03-10,0,0,0,0,0,0,0,681600,3436800,6614400,8764800,10070400,10588800,10243200,9187200,7353600,4780800,1881600,163200,0,0,0,0,0
2021-03-11,0,0,0,0,0,0,0,480000,2044800,2995200,4060800,5952000,8515200,10156800,8448000,5952000,2400000,816000,48000,0,0,0,0,0
2021-03-12,0,0,0,0,0,0,0,19200,364800,1017600,1305600,3868800,3676800,3964800,3052800,1785600,2572800,1776000,105600,0,0,0,0,0
2021-03-13,0,0,0,0,0,0,0,662400,2707200,5664000,8035200,9436800,10387200,10233600,9148800,7123200,4540800,1833600,163200,0,0,0,0,0
